Report Number,Title of Report,Classification,Date,Formula,Year,Month,Season,latitude,longitude,State,Country,Region
58445,Report 58445: Camper has an unnerving night on October Mountain,Class B,2017-10-30T12:00:00Z,2017,2017,October,Fall,42.36689,-73.18228,MA,United States,Northeast
51847,"Report 51847: Hikers have possible daytime encounter on state's highest peak, Mount Greylock",Class B,2016-04-30T12:00:00Z,2016,2016,April,Spring,42.63678,-73.16617,MA,United States,Northeast
46973,Report 46973: Hikers hear possible knocks and howls in The Berkshires,Class B,2015-11-06T12:00:00Z,2015,2015,November,Fall,42.34607,-73.16418,MA,United States,Northeast
49697,Report 49697: Daytime sighting while traveling on US-7 North of Williamstown,Class A,2015-09-05T12:00:00Z,2015,2015,September,Fall,42.7396,-73.21289,MA,United States,Northeast
46780,Report 46780: Possible nighttime sighting while driving over a bridge near Charlemont,Class B,2015-04-20T12:00:00Z,2015,2015,April,Spring,42.64809,-72.91994,MA,United States,Northeast
38386,Report 38386: Night fisherman has possible encounter at the Cobble Mountain Reservoir,Class B,2000-10-01T12:00:00Z,2000,2000,October,Fall,42.12302,-72.89154,MA,United States,Northeast
28667,Report 28667: Resident hears possible early morning vocalizations near Westfield,Class B,2011-08-14T12:00:00Z,2011,2011,August,Summer,42.08179,-72.82665,MA,United States,Northeast
65996,Report 65996: Hikers report Sasquatch stalking south of Amherst,Class B,2020-08-26T12:00:00Z,2020,2020,August,Summer,42.30283,-72.53766,MA,United States,Northeast
65734,Report 65734: Possible tree push over and vocalization near Belchertown and Quabbin Reservoir,Class B,1998-04-02T12:00:00Z,1998,1998,April,Spring,42.32359,-72.43863,MA,United States,Northeast
28017,Report 28017: Hikers observe and cast possible fresh footprints in Leominister State Forest,Class B,2010-11-08T12:00:00Z,2010,2010,November,Fall,42.54334,-71.80123,MA,United States,Northeast
25364,Report 25364: Federal law enforcement agent describes possible snow tracks on private land adjacent to Pakamansett River @ 10 miles from Hockomock Swamp (w/ Photos),Class B,2009-05-17T12:00:00Z,2009,2009,May,Spring,41.60551,-70.97708,MA,United States,Northeast
49512,Report 49512: Possible structure found when checking out the location of a sighting near Lakeville,Class B,2015-04-09T12:00:00Z,2015,2015,April,Spring,41.85164,-70.95207,MA,United States,Northeast
25719,Report 25719: Wood Knocks Heard Near Assawompsett Pond,Class B,2009-11-17T12:00:00Z,2009,2009,November,Fall,41.83664,-70.89049,MA,United States,Northeast
20670,Report 20670: Unrecognized wailing heard near Scituate,Class B,2000-11-25T12:00:00Z,2000,2000,November,Fall,42.17865,-70.75587,MA,United States,Northeast
12601,"Report 12601: Bow hunter hears vocalizations, smells foul odor",Class B,2005-09-14T12:00:00Z,2005,2005,September,Fall,38.81639,-76.54514,MD,United States,Northeast
25137,Report 25137: Memory told of a possible late night sighting while driving near Hurlock,Class B,1999-04-15T12:00:00Z,1999,1999,April,Spring,38.63295,-75.80465,MD,United States,Northeast
27702,Report 27702: Man recalls seeing a tall dark creature behind his house at dusk near Laurel,Class A,2010-08-15T12:00:00Z,2010,2010,August,Summer,39.08414,-76.82731,MD,United States,Northeast
10687,Report 10687: Child sees large figure looking at him in window at night,Class B,1972-08-15T12:00:00Z,1972,1972,August,Summer,39.01142,-76.53862,MD,United States,Northeast
46620,Report 46620: Possible nighttime sighting through a living room window near Potomac,Class B,2014-03-15T12:00:00Z,2014,2014,March,Spring,39.06392,-77.2948,MD,United States,Northeast
24952,Report 24952: Bird watcher experiences unusual activity while hiking in the Oxbow Lake Nature Preserve,Class B,2008-05-01T12:00:00Z,2008,2008,May,Spring,39.11378,-76.811,MD,United States,Northeast
10778,Report 10778: Vocals and thrown objects experienced by two friends exploring,Class B,1994-08-15T12:00:00Z,1994,1994,August,Summer,39.21564,-77.4608,MD,United States,Northeast
16204,Report 16204: Repeat visitations described near rural home,Class A,2006-10-08T12:00:00Z,2006,2006,October,Fall,39.5226,-78.49429,MD,United States,Northeast
29330,Report 29330: Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area,Class B,1989-05-15T12:00:00Z,1989,1989,May,Spring,39.64819,-78.32549,MD,United States,Northeast
30634,Report 30634: Night hikers possibly stalked near Bee Tree Preserve,Class B,2011-05-14T12:00:00Z,2011,2011,May,Spring,39.6946,-76.6691,MD,United States,Northeast
31814,Report 31814: Memories told of several incidents including an observation through a rifle scope while target practicing outside Street,Class A,1993-09-15T12:00:00Z,1993,1993,September,Fall,39.67183,-76.34047,MD,United States,Northeast
67335,"Report 67335: Knocks heard near Spectacle Pond, 27 miles east of Bangor",Class B,2020-11-12T12:00:00Z,2020,2020,November,Fall,44.78159,-68.2283,ME,United States,Northeast
66224,Report 66224: Distinct wood knocks heard 18 miles NNE of Bangor,Class B,2020-10-19T12:00:00Z,2020,2020,October,Fall,45.04943,-68.63222,ME,United States,Northeast
8259,Report 8259: Hunters find scat and have large rock thrown at them,Class B,1970-11-15T12:00:00Z,1970,1970,November,Fall,46.1333,-68.8405,ME,United States,Northeast
51005,Report 51005: Trail camera captures unknown creature on hunting property near Burnham,Class B,2016-01-30T12:00:00Z,2016,2016,January,Winter,44.6908,-69.3614,ME,United States,Northeast
51991,Report 51991: Possible track way found in the snow hear Hollis,Class B,2016-02-27T12:00:00Z,2016,2016,February,Winter,43.6676,-70.6235,ME,United States,Northeast
1975,Report 1975: Couples hears late night scream in Loudon,Class B,2001-01-10T12:00:00Z,2001,2001,January,Winter,43.28556,-71.46778,ME,United States,Northeast
56798,Report 56798: Possible track way found in the snow in Vaughn Woods State Park east of Dover,Class B,2017-02-14T12:00:00Z,2017,2017,February,Winter,43.2045,-70.81187,ME,United States,Northeast
66109,Report 66109: Multi-witness daylight sighting along powerlines south of Bryant Pond,Class A,2020-09-26T12:00:00Z,2020,2020,September,Fall,44.34113,-70.61507,ME,United States,Northeast
55290,Report 55290: Possible footprint found by a family looking for moose antlers near Wilson Mills,Class B,2016-07-26T12:00:00Z,2016,2016,July,Summer,45.04705,-70.99485,ME,United States,Northeast
7386,"Report 7386: Observer hears scream changing to low ""demonic"" chuckle",Class B,1974-12-15T12:00:00Z,1974,1974,December,Winter,42.0288,-86.5153,MI,United States,Midwest
34312,Report 34312: Couple relate possible sighting on their back deck and unexplained activity while camping near Hart,Class B,2006-08-15T12:00:00Z,2006,2006,August,Summer,43.689,-86.376,MI,United States,Midwest
35753,Report 35753: Gentleman walking his dog at dusk describes possible encounter and print near St. Joseph.,Class B,2012-06-10T12:00:00Z,2012,2012,June,Summer,42.19,-86.36,MI,United States,Midwest
31302,"Report 31302: Avid hiker recalls years of experience living in an area with what local people called the ""Shadow People"" near Montague",Class B,1979-07-15T12:00:00Z,1979,1979,July,Summer,43.4245,-86.353,MI,United States,Midwest
55573,Report 55573: Long term possible Sasquatch interactions on a farm near New Era beginning in the mid 1970's,Class B,1976-06-15T12:00:00Z,1976,1976,June,Summer,43.55,-86.325,MI,United States,Midwest
37652,Report 37652: Possible nighttime activity while camping and a chimp-like animal seen lifeless in the road near New Era,Class B,2000-06-15T12:00:00Z,2000,2000,June,Summer,43.5345,-86.29,MI,United States,Midwest
7275,Report 7275: Mother and son find footprints in woods near Nunica.,Class B,1994-07-16T12:00:00Z,1994,1994,July,Summer,43.103,-86.075,MI,United States,Midwest
25768,"Report 25768: Man recalls a possible brief sighting near Buchanan, while looking for dog",Class B,1993-02-07T12:00:00Z,1993,1993,February,Winter,41.77945,-85.99374,MI,United States,Midwest
19838,Report 19838: Possible vocals at property near the Allegan State Game Area,Class B,2007-06-20T12:00:00Z,2007,2007,June,Summer,42.4637,-85.95915,MI,United States,Midwest
21916,Report 21916: Possible Evening Encounter by Woman on Horseback near Union,Class B,1969-07-01T12:00:00Z,1969,1969,July,Summer,41.80205,-85.84005,MI,United States,Midwest
42226,"Report 42226: Multiple interactions involving a possible road crossing, vocalizations and paralleling experienced by a hunter/homeowner near the Rogue River Game Area",Class B,2013-11-15T12:00:00Z,2013,2013,November,Fall,43.22,-85.68,MI,United States,Midwest
35671,Report 35671: Bow hunter remembers possible intimidation behavior near Grand Rapids.,Class B,1979-10-01T12:00:00Z,1979,1979,October,Fall,43.153,-85.5995,MI,United States,Midwest
28797,Report 28797: Fishing couple describes possible rock throwing on reservoir 10 miles south of Huntington,Class B,2002-07-01T12:00:00Z,2002,2002,July,Summer,40.74765,-85.57069,MI,United States,Midwest
15926,Report 15926: Possible vocalization/intimidation at Ouabache State Park,Class B,1990-07-01T12:00:00Z,1990,1990,July,Summer,40.7219,-85.5045,MI,United States,Midwest
31592,Report 31592: Hunter recalls incidents near Pecks Lake,Class B,1989-11-01T12:00:00Z,1989,1989,November,Fall,43.857,-85.30701,MI,United States,Midwest
35437,Report 35437: Family reports possible vocalizations and unexplained activity near Mecosta,Class B,2012-05-14T12:00:00Z,2012,2012,May,Spring,43.577,-85.293,MI,United States,Midwest
9568,Report 9568: Teen hears extremely loud vocalization along path near home,Class B,1982-09-15T12:00:00Z,1982,1982,September,Fall,43.60667,-85.27652,MI,United States,Midwest
28945,Report 28945: Two individuals describe possible activity outside a cabin on Turk Lake,Class B,2010-08-15T12:00:00Z,2010,2010,August,Summer,43.2725,-85.2515,MI,United States,Midwest
36355,Report 36355: Possible paralleling described and tall figure seen at night south of Mt. Pleasant,Class B,2012-06-15T12:00:00Z,2012,2012,June,Summer,43.265,-84.94099,MI,United States,Midwest
46534,Report 46534: Possible late afternoon road crossing north of Ransom,Class B,2014-09-05T12:00:00Z,2014,2014,September,Fall,41.78913,-84.53609,MI,United States,Midwest
45976,Report 45976: Trucker recounts possible early morning experience while making a delivery outside Spring Arbor,Class B,2000-09-01T12:00:00Z,2000,2000,September,Fall,42.20901,-84.53098,MI,United States,Midwest
7181,"Report 7181: Two bikers hear strange sound near ""Lost Nation""",Class B,2003-05-01T12:00:00Z,2003,2003,May,Spring,41.79639,-84.4587,MI,United States,Midwest
32594,Report 32594: Woman has a possible encounter involving her vehicle while driving near Beaverton,Class B,2012-01-09T12:00:00Z,2012,2012,January,Winter,43.83165,-84.41335,MI,United States,Midwest
28023,Report 28023: Two hunters experience possible sasquatch intimidation behavior near Pinckney State Recreation Area,Class B,2011-07-14T12:00:00Z,2011,2011,July,Summer,42.43235,-84.2915,MI,United States,Midwest
14828,Report 14828: Possible dusk sighting near Lake Hudson State Park,Class B,1995-06-01T12:00:00Z,1995,1995,June,Summer,41.80832,-84.20835,MI,United States,Midwest
39785,Report 39785: Hunter hears unknown screams after shooting a deer near Jackson,Class B,2011-11-19T12:00:00Z,2011,2011,November,Fall,42.17291,-84.10373,MI,United States,Midwest
3350,Report 3350: large footprints found.,Class B,1999-11-01T12:00:00Z,1999,1999,November,Fall,40.65572,-83.93892,MI,United States,Midwest
9544,Report 9544: Loud vocalization heard near gravel pit,Class B,2004-08-31T12:00:00Z,2004,2004,August,Summer,42.36639,-83.86097,MI,United States,Midwest
24620,Report 24620: Man recalls family experiencing possible intimidation near Ann Arbor,Class B,1974-07-30T12:00:00Z,1974,1974,July,Summer,42.2375,-83.67,MI,United States,Midwest
3007,"Report 3007: Bare, wide footprints seen in the mud of a February thaw",Class B,2001-02-15T12:00:00Z,2001,2001,February,Winter,42.285,-83.59014,MI,United States,Midwest
8351,Report 8351: Father describes possible late night vocalizations heard by his boys near Willis,Class B,1999-06-19T12:00:00Z,1999,1999,June,Summer,42.15965,-83.55718,MI,United States,Midwest
4974,Report 4974: Vocalizations heard near Clearfork Reservoir,Class B,1996-07-01T12:00:00Z,1996,1996,July,Summer,40.74705,-82.64864,MI,United States,Midwest
31444,Report 31444: Woman recalls being paralyzed by fear during childhood sighting near Lake Hudson State Park,Class A,1978-07-15T12:00:00Z,1978,1978,July,Summer,41.871,-84.2995,MI,United States,Midwest
7399,Report 7399: Large Hairy Arm Knocks in Window Screen,Class A,1977-05-15T12:00:00Z,1977,1977,May,Spring,41.93,-84.35389,MI,United States,Midwest
15187,"Report 15187: Resident reports numerous incidents in his neighborhood outside Allen, near borders of MI, IN and OH",Class A,2006-04-11T12:00:00Z,2006,2006,April,Spring,41.9773,-84.7802,MI,United States,Midwest
29178,Report 29178: Passenger recalls a nighttime sighting near Brooklyn.,Class A,1980-11-16T12:00:00Z,1980,1980,November,Fall,42.068,-84.22701,MI,United States,Midwest
37553,Report 37553: Multiple childhood interactions recalled by a woman who grew up near Kalamazoo,Class A,1974-03-15T12:00:00Z,1974,1974,March,Spring,42.225,-85.6885,MI,United States,Midwest
2953,Report 2953: 2 witnesses see a BF at night in the headlights,Class A,2001-08-07T12:00:00Z,2001,2001,August,Summer,42.30472,-83.60472,MI,United States,Midwest
20423,Report 20423: Sighting by two teenagers in woods near Albion,Class A,1979-10-18T12:00:00Z,1979,1979,October,Fall,42.3125,-84.7378,MI,United States,Midwest
10151,Report 10151: Motorist has nighttime sighting of animal near Marshall.,Class A,1974-09-16T12:00:00Z,1974,1974,September,Fall,42.323,-85.05965,MI,United States,Midwest
4414,"Report 4414: Nighttime sighting by four witnesses, near Plainwell",Class A,2002-05-26T12:00:00Z,2002,2002,May,Spring,42.39472,-85.60028,MI,United States,Midwest
8389,Report 8389: Young man sees strange animal running down road under streetlight.,Class A,2004-03-27T12:00:00Z,2004,2004,March,Spring,42.40611,-83.58,MI,United States,Midwest
23481,Report 23481: Juvenile Bigfoot crosses road and clears a fence near Fowlerville,Class A,1978-07-01T12:00:00Z,1978,1978,July,Summer,42.68505,-84.04025,MI,United States,Midwest
5280,Report 5280: Two cars stop to let pair of BF cross the road.,Class A,2002-11-07T12:00:00Z,2002,2002,November,Fall,42.86361,-86.16861,MI,United States,Midwest
26372,Report 26372: Homeowner recalls a sighting outside her window and hearing strange vocalizations near Palo,Class A,1983-08-15T12:00:00Z,1983,1983,August,Summer,43.1095,-84.9825,MI,United States,Midwest
22802,Report 22802: Man recalls spotting a sasquatch watching him while hunting deer north of Grand Rapids,Class A,2008-10-06T12:00:00Z,2008,2008,October,Fall,43.21,-85.41,MI,United States,Midwest
4502,Report 4502: Late night sighting by motorist on 19 Mile Rd. near Greenville,Class A,2002-06-12T12:00:00Z,2002,2002,June,Summer,43.235,-85.34194,MI,United States,Midwest
815,"Report 815: Witness observes strange ""monkey-like"" animal from bedroom window.",Class A,1987-08-15T12:00:00Z,1987,1987,August,Summer,43.26806,-82.53083,MI,United States,Midwest
58621,Report 58621: Ongoing activity including a late night sighting at a home east of Vestaburg,Class A,2017-10-28T12:00:00Z,2017,2017,October,Fall,43.38621,-84.88741,MI,United States,Midwest
65867,Report 65867: Daylight sighting along Lake Huron north of Lexington,Class A,2020-08-01T12:00:00Z,2020,2020,August,Summer,43.39116,-82.53918,MI,United States,Midwest
5321,"Report 5321: Having morning coffee and looking out the window, man sees tall black ""ape"" walking in his woods.",Class A,1999-02-15T12:00:00Z,1999,1999,February,Winter,43.41444,-83.18583,MI,United States,Midwest
26245,Report 26245: Man recalls scary incidents as a teenager on his family's farm SW of Mt. Pleasant,Class A,1986-09-01T12:00:00Z,1986,1986,September,Fall,43.45135,-85.12935,MI,United States,Midwest
58484,Report 58484: Father and daughter have possible late night sighting on edge of Huron National Forest,Class B,2017-10-05T12:00:00Z,2017,2017,October,Fall,44.42654,-83.37971,MI,United States,Midwest
59333,Report 59333: Resident's sighting three miles north of Wurtsmith Air Force Base.,Class B,2016-11-14T12:00:00Z,2016,2016,November,Fall,44.49427,-83.40396,MI,United States,Midwest
59650,Report 59650: Family and friends hear two whoops from an unknown creature outside Mikado.,Class B,2018-06-27T12:00:00Z,2018,2018,June,Summer,44.56203,-83.45052,MI,United States,Midwest
1811,"Report 1811: Witness and cousin see ""hairy brown man-like creature"" watching them",Class A,1977-09-15T12:00:00Z,1977,1977,September,Fall,43.59611,-84.42722,MI,United States,Midwest
4325,"Report 4325: Nighttime sighting by three in car, near Mt. Pleasant",Class A,1990-10-20T12:00:00Z,1990,1990,October,Fall,43.5975,-84.66833,MI,United States,Midwest
7272,"Report 7272: Hunters endure hour-long, intimidation behavior by unseen aggressor(s)",Class B,2003-11-07T12:00:00Z,2003,2003,November,Fall,44.6375,-83.51418,MI,United States,Midwest
41770,Report 41770: Huge rocks thrown at night fishermen on Jewell Lake,Class B,2013-07-31T12:00:00Z,2013,2013,July,Summer,44.68047,-83.61314,MI,United States,Midwest
26617,Report 26617: Two bowhunters hear possible screams near Glennie,Class B,2011-05-19T12:00:00Z,2011,2011,May,Spring,44.62,-83.62335,MI,United States,Midwest
21969,Report 21969: Possible vocalization heard at dusk by bowhunter near Glennie,Class B,2006-10-01T12:00:00Z,2006,2006,October,Fall,44.56215,-83.78585,MI,United States,Midwest
29636,Report 29636: Fisherman recalls being startled by late night encounter on Fletcher Pond near Hillman,Class B,1980-06-27T12:00:00Z,1980,1980,June,Summer,44.98276,-83.84937,MI,United States,Midwest
55541,Report 55541: Motorist has a possible daylight sighting just north of South Branch,Class B,2016-09-06T12:00:00Z,2016,2016,September,Fall,44.48875,-83.88607,MI,United States,Midwest
31603,Report 31603: Motorists describe a nighttime sighting near the Manistee National Forest.,Class A,2011-07-15T12:00:00Z,2011,2011,July,Summer,43.674,-86.4565,MI,United States,Midwest
34990,Report 34990: Family members describe possible nighttime vocalizations heard over the years near Prescott,Class B,2001-07-15T12:00:00Z,2001,2001,July,Summer,44.2055,-83.95399,MI,United States,Midwest
27037,Report 27037: Vacationer hears possible howls at night near Henderson Lake,Class B,2006-05-15T12:00:00Z,2006,2006,May,Spring,44.34035,-84.00156,MI,United States,Midwest
40106,Report 40106: Possible daylight sighting by a motorist near Mio.,Class B,2013-03-12T12:00:00Z,2013,2013,March,Spring,44.68,-84.01165,MI,United States,Midwest
15150,Report 15150: Possible daylight sighting by backwoods motorist couple near Huron National Forest,Class B,2006-07-09T12:00:00Z,2006,2006,July,Summer,44.53665,-84.16389,MI,United States,Midwest
810,"Report 810: witness describes an ""ape-like"" creature along a road.",Class A,1997-11-15T12:00:00Z,1997,1997,November,Fall,43.74,-84.58583,MI,United States,Midwest
31121,Report 31121: Resonant vocalizations and bipedal movement heard by hunter camped near Roscommon,Class B,2011-11-14T12:00:00Z,2011,2011,November,Fall,44.398,-84.4445,MI,United States,Midwest
2830,Report 2830: BF shakes bush and screams at 2 hunters,Class A,1972-11-15T12:00:00Z,1972,1972,November,Fall,43.79834,-84.2114,MI,United States,Midwest
7800,Report 7800: Odd sounds and animal behavior from the forest cause woman concern.,Class B,2000-07-15T12:00:00Z,2000,2000,July,Summer,44.82167,-84.47611,MI,United States,Midwest
37448,Report 37448: Hunter recalls a possible encounter during deer season near St. Helen,Class B,1968-11-15T12:00:00Z,1968,1968,November,Fall,44.377,-84.4995,MI,United States,Midwest
40223,Report 40223: Memory told of a possible nighttime sighting by a teenager snowmobiling south of Houghton Lake,Class B,2013-04-06T12:00:00Z,2013,2013,April,Spring,44.12,-84.50999,MI,United States,Midwest
38946,Report 38946: Recollection of a possible road crossing at dusk near Roscommon,Class B,2013-02-05T12:00:00Z,2013,2013,February,Winter,44.41775,-84.5914,MI,United States,Midwest
32976,Report 32976: Possible daylight sighting by a mountain biker in the Pere Marquette State Forest,Class B,2008-12-03T12:00:00Z,2008,2008,December,Winter,44.685,-85.433,MI,United States,Midwest
39578,Report 39578: Snowmobiler observes a large figure cross the trail behind him near Traverse City,Class B,2012-12-26T12:00:00Z,2012,2012,December,Winter,44.71466,-85.44922,MI,United States,Midwest
26196,Report 26196: Possible intimidation experienced by two bow hunters near Cadillac,Class B,2000-10-01T12:00:00Z,2000,2000,October,Fall,44.16985,-85.63835,MI,United States,Midwest
25651,Report 25651: Man tells of sighting of two creatures while shining for deer near Beaverton,Class A,1996-10-01T12:00:00Z,1996,1996,October,Fall,43.87,-84.355,MI,United States,Midwest
24695,Report 24695: Disoriented coon hunter is followed out of the woods and experiences possible intimidation near Buckley,Class B,2008-09-25T12:00:00Z,2008,2008,September,Fall,44.45835,-85.6667,MI,United States,Midwest
42056,Report 42056: Possible activity at a cabin outside Traverse City,Class B,2013-09-02T12:00:00Z,2013,2013,September,Fall,44.83369,-85.72845,MI,United States,Midwest
7408,"Report 7408: Bigfoot tries to hide under brush, leaves legs exposed",Class A,2003-11-15T12:00:00Z,2003,2003,November,Fall,43.92736,-83.92834,MI,United States,Midwest
5652,Report 5652: Apelike creature seen by children on a sand dune near Caseville,Class A,1965-07-15T12:00:00Z,1965,1965,July,Summer,43.94111,-83.27139,MI,United States,Midwest
10889,Report 10889: Teens find footprint in swampy ground near Interlochen.,Class B,1984-02-11T12:00:00Z,1984,1984,February,Winter,44.64535,-85.77714,MI,United States,Midwest
28805,Report 28805: Camper recounts late night experience and finds footprints near Interlochen,Class B,1982-06-25T12:00:00Z,1982,1982,June,Summer,44.66666,-85.79052,MI,United States,Midwest
43519,Report 43519: Night fishermen startled while in their boat at Tippy Dam Campground,Class B,2012-04-05T12:00:00Z,2012,2012,April,Spring,44.25533,-85.9222,MI,United States,Midwest
35387,Report 35387: Late afternoon sighting by two brothers near Baldwin,Class A,2012-07-15T12:00:00Z,2012,2012,July,Summer,44.0559,-85.92196,MI,United States,Midwest
17175,Report 17175: Possible bluff charge toward a hunter in a blind near Copemish,Class B,1995-11-15T12:00:00Z,1995,1995,November,Fall,44.4887,-85.93575,MI,United States,Midwest
15514,"Report 15514: Possible stalking at rural school bus stop near Benzonia, Michigan",Class B,1984-10-01T12:00:00Z,1984,1984,October,Fall,44.5976,-86.09081,MI,United States,Midwest
30089,Report 30089: Memory told of a possible encounter while deer hunting east of Manistee,Class B,1962-11-15T12:00:00Z,1962,1962,November,Fall,44.1708,-86.10335,MI,United States,Midwest
35282,Report 35282: Close encounter experienced while waiting for the school bus near Marion,Class A,2009-05-04T12:00:00Z,2009,2009,May,Spring,44.1305,-85.2165,MI,United States,Midwest
37797,Report 37797: Description of several strange encounters along Sleeping Bear Dunes National Shoreline,Class B,2010-08-01T12:00:00Z,2010,2010,August,Summer,44.73109,-86.11156,MI,United States,Midwest
19223,Report 19223: Possible footprints found near Manistee,Class B,2006-11-20T12:00:00Z,2006,2006,November,Fall,44.091,-86.42896,MI,United States,Midwest
25298,Report 25298: Man recalls a sasquatch watching he and a group of teenagers taking a walk while camping near Houghton Lake,Class A,2009-07-16T12:00:00Z,2009,2009,July,Summer,44.17335,-84.6,MI,United States,Midwest
30090,"Report 30090: Grandfather and grandson witness a big, black creature chasing a deer near Manistee",Class A,2009-11-15T12:00:00Z,2009,2009,November,Fall,44.22671,-86.10172,MI,United States,Midwest
40204,Report 40204: Daylight sighting by a young man fishing near Whittemore,Class A,2013-04-11T12:00:00Z,2013,2013,April,Spring,44.2725,-83.89001,MI,United States,Midwest
15479,Report 15479: Daylight sighting in woods behind high school outside Houghton Lake,Class A,1999-04-14T12:00:00Z,1999,1999,April,Spring,44.29188,-84.72922,MI,United States,Midwest
10904,Report 10904: Deer hunter watches large bipedal animal in Rifle River State Park.,Class A,2003-11-17T12:00:00Z,2003,2003,November,Fall,44.36434,-84.05358,MI,United States,Midwest
43798,Report 43798: Memory told of an early evening sighting at a migrant work camp in Bear Lake,Class A,1984-10-01T12:00:00Z,1984,1984,October,Fall,44.38367,-86.19037,MI,United States,Midwest
21792,Report 21792: Night Time Sighting by Motorist - South of Lupton,Class A,2008-10-22T12:00:00Z,2008,2008,October,Fall,44.41835,-84.40335,MI,United States,Midwest
4613,Report 4613: Two firefighters have near collision with animal north of Houghton Lake.,Class A,1980-08-12T12:00:00Z,1980,1980,August,Summer,44.4355,-84.7602,MI,United States,Midwest
45572,Report 45572: Teens shining for deer have a scary encounter near Kingsley,Class A,2000-10-21T12:00:00Z,2000,2000,October,Fall,44.50587,-85.51546,MI,United States,Midwest
9872,Report 9872: Sisters have nighttime sighting near Buckley.,Class A,1998-08-10T12:00:00Z,1998,1998,August,Summer,44.51436,-85.82096,MI,United States,Midwest
29615,Report 29615: Nighttime sighting remembered while driving southeast of Kalkaska,Class A,2011-06-29T12:00:00Z,2011,2011,June,Summer,44.525,-85.075,MI,United States,Midwest
25622,Report 25622: Two men see a bigfoot cross a road near Rose City,Class A,1997-10-01T12:00:00Z,1997,1997,October,Fall,44.5256,-84.06493,MI,United States,Midwest
25031,Report 25031: Bird hunter surprises a resting sasquatch near Curtisville,Class A,2008-11-18T12:00:00Z,2008,2008,November,Fall,44.565,-83.845,MI,United States,Midwest
27783,Report 27783: Man recounts two experiences with bigfoot while camping in the Lower Peninsula,Class A,2010-10-09T12:00:00Z,2010,2010,October,Fall,44.59665,-84.0415,MI,United States,Midwest
24776,"Report 24776: Near Bendon, woman and daughter recall their daylight sighting from automobile",Class A,1985-05-15T12:00:00Z,1985,1985,May,Spring,44.62845,-85.86292,MI,United States,Midwest
23530,Report 23530: Man recalls childhood incident near Grayling,Class A,1973-05-01T12:00:00Z,1973,1973,May,Spring,44.7,-84.71,MI,United States,Midwest
24868,Report 24868:  Hunter tells of his daylight encounter while baiting bear outside Lewiston,Class A,2008-10-12T12:00:00Z,2008,2008,October,Fall,44.76,-84.12485,MI,United States,Midwest
28668,Report 28668: Man recalls encounter he had as a teenager near Kalkaska,Class A,2011-05-23T12:00:00Z,2011,2011,May,Spring,44.76665,-85.00165,MI,United States,Midwest
27009,Report 27009: Woman recalls daylight sighting while driving and a possible incident at a home east of Gaylord,Class A,2010-07-26T12:00:00Z,2010,2010,July,Summer,44.94835,-84.165,MI,United States,Midwest
30753,Report 30753: Witness recalls a childhood face to face daylight sighting near his home and night vocalizations outside Gaylord,Class A,2011-11-05T12:00:00Z,2011,2011,November,Fall,45,-85,MI,United States,Midwest
24854,Report 24854: Dusk sighting by two teenagers participating in the Youth Deer Hunt near Wolverine,Class A,2008-10-16T12:00:00Z,2008,2008,October,Fall,45.1475,-84.425,MI,United States,Midwest
51317,Report 51317: Motorist has dusk sighting on Hwy. 41 outside Peshtigo,Class A,2004-06-20T12:00:00Z,2004,2004,June,Summer,45.15,-87.6779,MI,United States,Midwest
28993,Report 28993: Couple recount seeing large biped walking in ditch near Marinette,Class B,1981-04-15T12:00:00Z,1981,1981,April,Spring,45.05592,-87.63705,MI,United States,Midwest
43145,Report 43145: Possible sighting by a motorist avoiding deer west of Escanaba,Class B,2005-10-22T12:00:00Z,2005,2005,October,Fall,45.78247,-87.326,MI,United States,Midwest
44387,Report 44387: Possible early evening sighting at a cemetery outside Escanaba,Class B,2001-07-16T12:00:00Z,2001,2001,July,Summer,45.74023,-87.09378,MI,United States,Midwest
33611,Report 33611: Air National Guardsman describes being ushered out of the woods culminating in a nighttime sighting from his car near the Presque Isle Lighthouse,Class A,2003-07-15T12:00:00Z,2003,2003,July,Summer,45.351,-83.4885,MI,United States,Midwest
29091,Report 29091: Motorist is shocked by sighting on I-75 between Wolverine & Indian River,Class A,2009-07-17T12:00:00Z,2009,2009,July,Summer,45.35665,-84.605,MI,United States,Midwest
29409,Report 29409: Woman remembers childhood sighting near Rogers City,Class A,1967-05-17T12:00:00Z,1967,1967,May,Spring,45.40985,-83.85985,MI,United States,Midwest
47439,Report 47439: Fishermen have possible daytime encounter near Escanaba,Class B,2014-04-23T12:00:00Z,2014,2014,April,Spring,45.93311,-87.05026,MI,United States,Midwest
56552,Report 56552: Possible ongoing activity experienced while hiking a trail outside Gladstone,Class B,2016-11-26T12:00:00Z,2016,2016,November,Fall,45.89259,-87.04828,MI,United States,Midwest
17939,Report 17939: Possible stalking of two people walking in the early evening near Lake Michigan and Gulliver Lake (Upper Peninsula),Class B,2006-07-11T12:00:00Z,2006,2006,July,Summer,45.9796,-86.0221,MI,United States,Midwest
24033,Report 24033: Woman describes foul odor and possible vocalizatons near home outside Charlevoix,Class B,2008-06-15T12:00:00Z,2008,2008,June,Summer,45.33075,-85.23538,MI,United States,Midwest
